127.0.0.1 - - [27/Apr/2020:19:10:01 +0300] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [27/Apr/2020:19:10:07 +0300] "GET /Asiakkaat/listaaasiakkaat.jsp HTTP/1.1" 200 1337
0:0:0:0:0:0:0:1 - - [27/Apr/2020:19:10:07 +0300] "GET /Asiakkaat/Scripts/main.js HTTP/1.1" 200 352
0:0:0:0:0:0:0:1 - - [27/Apr/2020:19:10:07 +0300] "GET /Asiakkaat/css/main.css HTTP/1.1" 200 352
0:0:0:0:0:0:0:1 - - [27/Apr/2020:19:10:07 +0300] "GET /Asiakkaat/asiakkaat HTTP/1.1" 200 340
0:0:0:0:0:0:0:1 - - [27/Apr/2020:19:10:14 +0300] "GET /Asiakkaat/listaaasiakkaat.jsp HTTP/1.1" 200 1337
0:0:0:0:0:0:0:1 - - [27/Apr/2020:19:10:14 +0300] "GET /Asiakkaat/css/main.css HTTP/1.1" 200 352
0:0:0:0:0:0:0:1 - - [27/Apr/2020:19:10:14 +0300] "GET /Asiakkaat/Scripts/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:19:10:14 +0300] "GET /Asiakkaat/asiakkaat HTTP/1.1" 200 340
0:0:0:0:0:0:0:1 - - [27/Apr/2020:19:11:28 +0300] "GET /Asiakkaat/listaaasiakkaat.jsp HTTP/1.1" 200 1337
0:0:0:0:0:0:0:1 - - [27/Apr/2020:19:11:29 +0300] "GET /Asiakkaat/Scripts/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:19:11:29 +0300] "GET /Asiakkaat/css/main.css HTTP/1.1" 200 349
0:0:0:0:0:0:0:1 - - [27/Apr/2020:19:11:29 +0300] "GET /Asiakkaat/asiakkaat HTTP/1.1" 200 340
0:0:0:0:0:0:0:1 - - [27/Apr/2020:19:12:52 +0300] "GET /Asiakkaat/listaaasiakkaat.jsp HTTP/1.1" 200 1357
0:0:0:0:0:0:0:1 - - [27/Apr/2020:19:12:52 +0300] "GET /Asiakkaat/css/main.css HTTP/1.1" 200 349
0:0:0:0:0:0:0:1 - - [27/Apr/2020:19:12:52 +0300] "GET /Asiakkaat/Scripts/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:19:12:52 +0300] "GET /Asiakkaat/asiakkaat HTTP/1.1" 200 340
0:0:0:0:0:0:0:1 - - [27/Apr/2020:19:13:54 +0300] "GET /Asiakkaat/listaaasiakkaat.jsp HTTP/1.1" 200 1351
0:0:0:0:0:0:0:1 - - [27/Apr/2020:19:13:54 +0300] "GET /Asiakkaat/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:19:13:54 +0300] "GET /Asiakkaat/Scripts/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:19:13:54 +0300] "GET /Asiakkaat/asiakkaat HTTP/1.1" 200 340
0:0:0:0:0:0:0:1 - - [27/Apr/2020:19:14:04 +0300] "GET /Asiakkaat/listaaasiakkaat.jsp HTTP/1.1" 200 1351
0:0:0:0:0:0:0:1 - - [27/Apr/2020:19:14:05 +0300] "GET /Asiakkaat/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:19:14:05 +0300] "GET /Asiakkaat/Scripts/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:19:14:05 +0300] "GET /Asiakkaat/asiakkaat HTTP/1.1" 200 340
0:0:0:0:0:0:0:1 - - [27/Apr/2020:19:15:54 +0300] "GET /Asiakkaat/listaaasiakkaat.jsp HTTP/1.1" 200 1365
0:0:0:0:0:0:0:1 - - [27/Apr/2020:19:15:54 +0300] "GET /Asiakkaat/Scripts/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:19:15:54 +0300] "GET /Asiakkaat/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:19:15:54 +0300] "GET /Asiakkaat/asiakkaat HTTP/1.1" 200 340
0:0:0:0:0:0:0:1 - - [27/Apr/2020:19:17:40 +0300] "GET /Asiakkaat/listaaasiakkaat.jsp HTTP/1.1" 200 1354
0:0:0:0:0:0:0:1 - - [27/Apr/2020:19:17:40 +0300] "GET /Asiakkaat/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:19:17:40 +0300] "GET /Asiakkaat/Scripts/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:19:17:40 +0300] "GET /Asiakkaat/asiakkaat HTTP/1.1" 200 340
0:0:0:0:0:0:0:1 - - [27/Apr/2020:19:32:01 +0300] "GET /Asiakkaat/listaaasiakkaat.jsp HTTP/1.1" 200 1354
0:0:0:0:0:0:0:1 - - [27/Apr/2020:19:32:02 +0300] "GET /Asiakkaat/css/main.css HTTP/1.1" 200 349
0:0:0:0:0:0:0:1 - - [27/Apr/2020:19:32:02 +0300] "GET /Asiakkaat/Scripts/main.js HTTP/1.1" 200 352
0:0:0:0:0:0:0:1 - - [27/Apr/2020:19:32:02 +0300] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [27/Apr/2020:19:32:02 +0300] "GET /Asiakkaat/asiakkaat HTTP/1.1" 200 340
0:0:0:0:0:0:0:1 - - [27/Apr/2020:19:39:51 +0300] "GET /Asiakkaat/listaaasiakkaat.jsp HTTP/1.1" 200 1354
0:0:0:0:0:0:0:1 - - [27/Apr/2020:19:39:51 +0300] "GET /Asiakkaat/Scripts/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:19:39:51 +0300] "GET /Asiakkaat/css/main.css HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [27/Apr/2020:19:39:51 +0300] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [27/Apr/2020:19:39:51 +0300] "GET /Asiakkaat/asiakkaat HTTP/1.1" 200 340
0:0:0:0:0:0:0:1 - - [27/Apr/2020:19:42:51 +0300] "GET /Asiakkaat/listaaasiakkaat.jsp HTTP/1.1" 200 1366
0:0:0:0:0:0:0:1 - - [27/Apr/2020:19:42:51 +0300] "GET /Asiakkaat/css/main.css HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [27/Apr/2020:19:42:51 +0300] "GET /Asiakkaat/Scripts/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:19:42:52 +0300] "GET /Asiakkaat/asiakkaat HTTP/1.1" 200 340
0:0:0:0:0:0:0:1 - - [27/Apr/2020:19:43:27 +0300] "GET /Asiakkaat/listaaasiakkaat.jsp HTTP/1.1" 200 1357
0:0:0:0:0:0:0:1 - - [27/Apr/2020:19:43:27 +0300] "GET /Asiakkaat/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:19:43:27 +0300] "GET /Asiakkaat/Scripts/main.js HTTP/1.1" 304 -
